code,name,unit,price_6mm,price_8_10mm,price_12_19mm,class,in_system,question
NOTCHES BY CNC,NOTCHES BY CNC,each,,,,услуга,,Чем отличается от S32 CNC Processing-Notch? Если одно и то же — одну строку удаляем.
NOTCHES BY HAND,NOTCHES BY HAND,each,10.00,15.00,20.00,услуга,notchHand,
OPACI COAT CUST COL,OPACI COAT CUSTOM COLOUR PAINT,ft2,,,,услуга,,
OPACI COAT ST COL,OPACI COAT STANDARD COLOUR PAINTING,ft2,,,,услуга,,
S42,OUTLET CUT OUT,each,,,,услуга,,Чем OUTLET CUT OUT отличается от S33 CNC Processing-Outlet cutout? Если это одно и то же — одну строку удаляем.
PTN SAND,PATTERN SANDBLASTING,ft2,6.00,6.00,6.00,услуга,sandblastPattern,
LAMPOL,POLISH LAMI GLASS,lm_in,0.28,0.28,0.28,услуга,lamiPolish,
RADIUSC,RADIUS CORNER,each,10.00,12.00,15.00,услуга,radiusCorner,
RA,ROUGH ARRIS,lm_in,0.01,0.02,0.03,услуга,roughArris,
SANDBLAST,SANDBLASTING,each,,,,услуга,,Общий SANDBLASTING при наличии SIMPLE и PATTERN — нужен ли вообще?
SHAPE POLI,SHAPE POLISH CNC,lm_in,0.28,0.38,0.48,услуга,cncShapePolish,
SMP SAND,SIMPLE SANDBLASTING,ft2,4.00,4.00,4.00,услуга,sandblastFull,
STEP POLI,STEP POLISHING CNC,lm_in,,,,услуга,,STEP POLISHING CNC в прайсе нет. Услуга живая? Если да — цена.
TEMP STAMP,TEMPERING STAMP,each,,,,услуга,,"В системе штамп закалки бесплатный, в прайсе позиция есть. Платный или нет?"
"1""x1/4"" BLACK MUNTIN BAR","1""x1/4"" BLACK MUNTIN BAR",each,,,,материал,,
"5/8""x1/4"" BLACK & WHITE MUNTIN BAR","5/8""x1/4"" BLACK & WHITE MUNTIN BAR",each,,,,материал,,
"5/8""x1/4"" BLACK MUNTIN BAR","5/8""x1/4"" BLACK MUNTIN BAR",each,,,,материал,,
"5/8""x1/4"" WHITE MUNTIN BAR","5/8""x1/4"" WHITE MUNTIN BAR",each,,,,материал,,
CLMP,CLAMPS,each,5.00,8.00,10.00,материал,clamp,"В вашей же разметке отмечено «это материал, а не услуга». Сейчас система берёт за штуку как услугу. Оставляем как есть?"
HNGS,HINGES,each,10.00,15.00,20.00,материал,hinge,"Подтверждено 10 сентября: patch — та же петля, ставка 10 / 15 / 20, и ставка живёт на виде, а не на модели."
MIIROR EDGE SEALANT,MIIROR EDGE SEALANT,lm_in,0.07,,,материал,,Отмечено как материал. Берётся с клиента отдельной строкой?
MIRROR SAFTEY BACK,MIRROR SAFTEY BACKER,ft2,4.00,,,материал,,
SGP LAMI 006,SGP LAMI 006,ft2,,,,материал,,
CCFEE,Credit card fee,each,,,,надбавка,,
ES8,Energy Surcharge,each,,,,надбавка,,
EXTRA SHAPE IGU,EXTRA CHARGE FOR IGU SHAPES,each,1.25,1.25,1.25,надбавка,shapeUnit,
ECH FOR OS GLASSES,EXTRA CHARGES FOR OVER SIZED GLASSES,each,,,,надбавка,,
ECH FOR TRIPLE IGU,EXTRA CHARGES FOR TRIPLE IG UNITS,each,,,,надбавка,,
EXTR CHRG FOR WASTE,EXTRA CHARGES FOR WASTE OF GLASS FROM OPTIMIZATION,each,,,,надбавка,,
OVERSIZED IGU,OVERSIZED IGU,each,,,,надбавка,,
RS8,RUSH,each,,,,надбавка,,
RUSH NO CHARGE,RUSH NO CHARGE,each,,,,надбавка,,
TRIPLE IGU,TRIPLE IGU,each,,,,надбавка,,
TRIPLE LAMI,TRIPLE LAMI,each,,,,надбавка,,
CERM FRIT - FULL,CERAMIC FRIT - FULL COVARAGE  - 100%,ft2,,,,на удаление,,
CERM FRIT-GRADIENT/DOTS,CERAMIC FRIT -PARTIAL COVERAGE - GRADIENT PATTERN + DOTS,ft2,,,,на удаление,,
CERM FRIT - GRADIENT,CERAMIC FRIT -PARTIAL COVERAGE - GRADIENT PATTERN ONLY,ft2,,,,на удаление,,
CERM FRIT - PATTERN,CERAMIC FRIT -PARTIAL COVERAGE - PATTERN,ft2,,,,на удаление,,
CN 1001,CRN 1001mm+,each,,,,на удаление,,
CR,CREDIT NOTE,each,,,,бухгалтерия,,
OTHER,Invoice Transfer,,,,,бухгалтерия,,
INV,OLD INVOICES,each,,,,бухгалтерия,,
TEMP,TEMPLATE,,,,,бухгалтерия,,
